@semester 1
@fach Biologische Psychologie
@kurz BioPsy
## Gehirn als System
Wie viele Neuronen hat das Gehirn und wie viel Energie braucht es? || Rund 100 Milliarden Neuronen mit je tausenden Synapsen; Energieverbrauch nur ca. 20 Watt.
Warum gibt es kein einzelnes „Zentrum“ für Verhalten? || Verhalten und Erleben entstehen durch das Zusammenspiel vieler Regionen – fast alle Funktionen beruhen auf Netzwerken.
!Nenne die vier Hauptteile des Gehirns und ihre Funktion. || Kortex (graue Substanz): höhere kognitive Funktionen. // Weiße Substanz: myelinisierte Faserbahnen, verbinden Hirnregionen. // Limbisches System: Emotion, Motivation, Belohnung, Gedächtnis. // Stammhirn & Kleinhirn: Lebensfunktionen, Bewegungskoordination.
Kortex vs. weiße Substanz? || Kortex: gefaltete äußere Schicht („graue Substanz“), Sitz von Denken, Planen, Sprache, bewusster Wahrnehmung. // Weiße Substanz: darunterliegende Faserbahnen aus myelinisierten Axonen für schnelle Kommunikation.
## Kleinhirn & Stammhirn
Lage und Funktion des Kleinhirns (Cerebellum)? || Unterhalb und hinter dem Hirnstamm; Koordination und Feinabstimmung von Bewegungen, Muskelspannung, Gleichgewicht; auch Aufmerksamkeit, Sprache, emotionale Regulation.
Was ist eine Ataxie? || Typische Folge von Kleinhirnstörungen: gestörte Bewegungskoordination, Gangunsicherheit, Intentionstremor.
Was zeigt der Fall der Frau ohne Kleinhirn? || Die Plastizität des Gehirns: Andere Strukturen (z. B. Großhirn) übernehmen Funktionen teilweise – trotz lebenslanger Gleichgewichtsprobleme relativ alltagstaugliches Verhalten.
Aus welchen Teilen besteht das Stammhirn? || Mittelhirn (Mesencephalon), Brücke (Pons), verlängertes Mark (Medulla oblongata); es geht in das Rückenmark über.
!Welche Funktionen hat das Stammhirn und was passiert bei Schädigung? || Atmung, Herzschlag, Blutdruck, Verdauung; Reflexe (Lidschluss, Schlucken); Schlaf-Wach-Regulation (retikuläre Formation). Schädigung meist lebensbedrohlich (Koma, Atem-/Herzprobleme, Tod).
## Limbisches System
Was bedeutet „limbisch“ und wofür ist das System wichtig? || „Saum/Grenze“ – liegt zwischen Kortex und Stammhirn; zentral für Emotion, Motivation, Gedächtnis und Belohnung.
!Funktion des Hippocampus und Folge seiner Schädigung? || Bildung und Konsolidierung von Langzeitgedächtnis (v. a. episodisch), räumliche Orientierung. Schädigung → anterograde Amnesie (Patient H. M.).
!Funktion der Amygdala? || Mandelförmige Struktur im medialen Temporallappen: emotionale Bewertung von Reizen (v. a. Angst, Bedrohung), Angstkonditionierung, Verstärkung emotionaler Erinnerungen.
Wie wirken Amygdala und Hippocampus zusammen? || Die Amygdala verstärkt zusammen mit dem Hippocampus die Speicherung emotional bedeutsamer Erinnerungen.
Folgen von Über- und Unterfunktion der Amygdala? || Überaktivität: Zusammenhang mit Angst- oder Panikstörungen. // Unterfunktion: eingeschränkte Furchtreaktionen.
Funktion des Thalamus? || Zentrale Umschaltstation für fast alle Sinneseindrücke (außer Geruch): filtert und verteilt sie an den Kortex; leitet bedrohliche Reize schnell an die Amygdala weiter.
